Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
10040,26,5648,764,272,135
10128,31,223,107,1147,245
10193,31,6937,1531,4861,951
10343,27,11056,1974,285,86
10360,35,702,202,11377,1933
10376,34,3064,1079,361,176
10379,27,218,75,173,95
10402,24,277,136,980,370
10470,41,5121,1067,2813,685
10471,28,331,104,2142,526
10592,28,288,120,4919,981
10609,36,951,309,3104,543
10647,31,2896,618,1323,354
10670,24,866,230,3373,720
10711,21,1276,439,4906,726
10717,29,966,336,981,207
10767,30,777,220,8564,2170
20091,29,344,154,6249,1366
20114,39,344,139,3464,851
20128,21,278,134,201,56
20435,40,3841,813,1846,437
20440,31,464,202,213,85
20477,32,1923,851,2420,645
20669,21,7876,1281,242,65
20678,28,13767,2677,320,115
20682,20,3204,834,261,105
20692,36,7146,1618,328,133
20730,34,5194,1173,3883,785
20747,32,295,147,194,78
50056,22,3512,719,1401,458
50114,33,2344,629,194,79
50131,25,881,215,9047,1813
50132,27,841,273,9602,2737
50136,24,712,229,1060,350
50138,35,2586,728,189,98
50167,35,6509,1978,382,182
50296,27,548,207,2576,685
50332,19,5899,1332,5320,827
50356,33,475,172,11967,1317
50370,17,282,126,139,40
50373,23,6327,896,235,84
50440,30,201,99,225,120
50497,33,248,104,885,351
50543,44,860,242,9304,1219
50706,30,498,157,4406,855
50750,28,901,227,1890,302
50767,23,4346,880,188,95
60053,25,256,90,2268,743
60102,25,12912,1845,252,78
60138,36,526,166,5698,1588
60148,29,212,83,179,102
60184,26,266,100,6604,1267
60209,32,8945,1747,226,80
60358,14,4323,643,3176,518
60373,29,952,244,235,80
60463,22,10991,3097,2790,754
60551,18,646,193,225,125
60554,32,302,112,3967,747
60653,22,1264,324,543,189
60692,27,3396,779,24090,3076
70025,20,2402,512,2218,523
70059,27,6484,903,5335,693
70167,31,4726,915,10469,1593
70273,22,5834,1392,206,94
70286,38,4941,1053,1628,516
70364,22,9086,1879,9411,1466
70370,26,224,84,4319,729
70379,27,642,164,3897,1018
70392,28,3225,969,1795,658
70424,24,194,92,148,58
70440,37,6774,1306,4449,684
70441,24,2819,783,829,220
70452,28,6242,1133,247,104
70465,37,266,83,7708,1342
70471,27,2616,719,4111,942
70608,36,7671,1610,5095,947
70750,26,7775,1515,8104,1350
70753,28,312,104,148,64
110079,18,2926,929,134,56
110082,31,497,222,259,137
110142,29,7058,1252,7543,1104
110201,23,3205,781,1617,510
110296,28,262,115,3585,1250
110403,19,2376,398,9789,1555
110445,40,444,168,3000,757
110477,38,740,225,5158,1097
110500,38,6876,1184,260,141
110626,35,335,152,3441,708
110678,26,7105,1721,860,274
110709,25,530,164,797,246
110739,33,329,132,2657,884
110746,37,519,169,5274,815
110767,29,12959,3470,332,110
130044,42,610,215,837,359
130121,43,7552,1206,3734,639
130128,31,3531,980,591,288
130196,41,7526,1325,182,82
130224,13,4719,1245,242,101
130274,25,5611,1026,212,62
130341,32,1063,339,357,138
130373,33,4581,708,4810,742
130402,38,297,110,5919,731
130414,31,3511,775,1660,388
130471,25,4941,1221,751,246
130626,28,1690,284,2137,457
130747,21,6240,1278,2941,476
130754,34,164,73,141,70
130762,24,5505,1739,432,186
130768,32,852,353,151,60
150070,30,4293,841,180,74
150152,29,5960,1776,1355,386
150162,27,3804,1257,1238,647
150164,30,8051,1758,2769,655
150349,32,2665,617,215,102
150427,29,1993,653,1281,469
150438,25,242,146,180,69
